Learner,Gender,Semester,Type,Submission Sequence,Description,Observing the Status Quo (OSQ) Mastery Level,Assessing Personal Interest (API) Mastery Level,Exploring the Problem Space (EPS) Mastery Level,Assessing the ROI of Time/Effort (ROI) Required Mastery Level,Estimating the Value for Customers (EVC) Mastery Level,Identifying Others to De-risk the Opportunity (ODR) Mastery Level,Taking Action to Build Momentum (ABM) Mastery Level,Feedback Given,Correct,Incorrect,Next steps
MC,0,Spring,Observation,1,none of my shoes are able to walk on the ice smoothly. ,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great start! Now include in your description how you feel when you experience or notice problems. For example, you might have felt unsteady or out of control when you noticed you couldn't walk smoothly or maybe you were worried that someone might see you walking funny or fall. Different emotions, different unmet needs.
The other thing to think about is if you, yourself, would have bought a solution to the problem in the moment you're experiencing it. If someone offered to sell you these magical shoes that didn't make you slip would you have said ""shut up and take my money."" That is the kind of intensity we're looking for, one that will prompt people to remember to shop for a solution.",Effort being made to notice surroundings and problems they are experiencing.,"Lacks emotional evidence, detail, commonality, or implied solution and economic system.",Encourage describing emotional evidence during the observed experience. Perhaps prompt with examples that emphasize different kinds of emotional evidence that might reflect different underlying needs. This will also encourage more detail. Invite them to consider if the inensity or frequency of that negative experience would cause them to want to buy a solution as a way to encourage describing a solution and economic system. This can also encourage the consideration of the commonality of the experience.
MC,0,Spring,Observation,1,Having to scrape ice off my car,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great start! Now include in your description how you feel when you experience or notice problems. For example, you might have felt unsteady or out of control when you noticed you couldn't walk smoothly or maybe you were worried that someone might see you walking funny or fall. Different emotions, different unmet needs.
The other thing to think about is if you, yourself, would have bought a solution to the problem in the moment you're experiencing it. If someone offered to sell you these magical shoes that didn't make you slip would you have said ""shut up and take my money."" That is the kind of intensity we're looking for, one that will prompt people to remember to shop for a solution.","Effort being made to notice surroundings and problems they are experiencing. The use  of ""Having to"" implies an obligation that hints at emotional evidence.","Lacks explicit emotional evidence, detail, commonality, or implied solution and economic system.","Encourage describing emotional evidence during the observed experience. Inquire further what they mean by ""Have to"". Have them identify the specific emotion they are feeling in that moment. This will also encourage more detail. Invite them to consider if the inensity or frequency of that negative experience would cause them to want to buy a solution as a way to encourage describing a solution and economic system. This can also encourage the consideration of the commonality of the experience."
MC,0,Spring,Observation,1,How to get rid of spam phone calls and emails,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great start! Now include in your description how you feel when you experience or notice problems. For example, you might have felt unsteady or out of control when you noticed you couldn't walk smoothly or maybe you were worried that someone might see you walking funny or fall. Different emotions, different unmet needs.
The other thing to think about is if you, yourself, would have bought a solution to the problem in the moment you're experiencing it. If someone offered to sell you these magical shoes that didn't make you slip would you have said ""shut up and take my money."" That is the kind of intensity we're looking for, one that will prompt people to remember to shop for a solution.","Effort being made to notice surroundings and problems they are experiencing. The lack of ""my"" may be the beginning of considering commonality. The use  of ""get rid of"" implies an unwanted feeling that hints at emotional evidence.","Lacks explicit emotional evidence, detail, commonality, or implied solution and economic system.","Encourage describing emotional evidence during the observed experience. Inquire further what they mean by ""get rid of"". Have them identify the specific emotion that people might feel when encountering ""spam phone calss and emails"". This will also encourage more detail and commonality considerations. Invite them to consider if the inensity or frequency of that negative experience would cause them to want to buy a solution as a way to encourage describing a solution and economic system. "
MC,0,Spring,Observation,1,a way to better help beginners learn how earnings effect the stock price of a company,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great start! Now include in your description how you feel when you experience or notice problems. For example, you might have felt unsteady or out of control when you noticed you couldn't walk smoothly or maybe you were worried that someone might see you walking funny or fall. Different emotions, different unmet needs.
The other thing to think about is if you, yourself, would have bought a solution to the problem in the moment you're experiencing it. If someone offered to sell you these magical shoes that didn't make you slip would you have said ""shut up and take my money."" That is the kind of intensity we're looking for, one that will prompt people to remember to shop for a solution.","Effort being made to notice surroundings and problems they are experiencing. Identifies the beginning of a customer segment in ""beginners"".","Lacks emotional evidence, detail, commonality, or implied solution and economic system.",Encourage describing emotional evidence during the observed experience. Perhaps prompt with examples that emphasize different kinds of emotional evidence that might reflect different underlying needs. This will also encourage more detail. Invite them to consider if the inensity or frequency of that negative experience would cause them to want to buy a solution as a way to encourage describing a solution and economic system. This can also encourage the consideration of the commonality of the experience.
MC,0,Spring,Observation,1,something that could help my fan not collect dust everyday,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great start! Now include in your description how you feel when you experience or notice problems. For example, you might have felt unsteady or out of control when you noticed you couldn't walk smoothly or maybe you were worried that someone might see you walking funny or fall. Different emotions, different unmet needs.
The other thing to think about is if you, yourself, would have bought a solution to the problem in the moment you're experiencing it. If someone offered to sell you these magical shoes that didn't make you slip would you have said ""shut up and take my money."" That is the kind of intensity we're looking for, one that will prompt people to remember to shop for a solution.",Effort being made to notice surroundings and problems they are experiencing.,"Lacks emotional evidence, detail, commonality, or implied solution and economic system.",Encourage describing emotional evidence during the observed experience. Perhaps prompt with examples that emphasize different kinds of emotional evidence that might reflect different underlying needs. This will also encourage more detail. Invite them to consider if the inensity or frequency of that negative experience would cause them to want to buy a solution as a way to encourage describing a solution and economic system. This can also encourage the consideration of the commonality of the experience.
BG,1,Spring,Observation,1,"A problem I experienced today was a tenant who resides with us, attempting to pay after their court judgement date to pay has passed. The opportunity here is to collect the back rent and that money then becomes income. However, the problem is that this tenant has cost hundreds of dollars in legal fees and if we accept the rent, the judgement is void and the risk of the tenant not paying again is great. ",Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of the situations! Especially catching all the non-verbal signs of your co-worker. You're already increasing your situational awareness.
Remember we are trying to re-train your brain to notice certain kinds of opportunities. Some opportunities are just process improvements or choices people make. You are looking for opportunities that could be solved through the purchase of a product or service. Noticing the emotional evidence is just a signal to dig deeper to understand what need isn't being met yet. Keep up the good work!",Effort being made to notice surroundings and problems they are experiencing. By describing the tensions between possible actions they are beginning to explore a root cause of the problem.,"OSQ: Lacks emotional evidence, commonality, or implied solution and economic system.  
EPS: Limited understanding of the problem, not much reasons for its persistence, no competitor landscape, no market size, and no exclusivity potential considered. Analysis lacks depth.","Praise them for what got correct. Encourage them to describe the emotional evidence during the observed experience. Remind them they are looking for frequent or intense problems that can be solved by a product or service. by asking ""Is this a problem that can be solved with a product or service? Is it an intense enough experience to influence future purchasing decisions"" "
BG,1,Spring,Observation,1,"Walking into work this morning, I greeted my co-worker with a friendly ""good morning, how was your weekend?"" At first glance, before my coworker responded to me, I noticed this head in his hands, his glasses on the table, and a rigid posture. The problem is clearly that my coworker was frustrated about something, When he responded to my greeting, it was in a grunting and exasperated tone. The opportunity here is to change the path of his day but contributing to a positive work environment and picking up the slack where I am able, if I am able. ",Awareness,Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,"Great descriptions of the situations! Especially catching all the non-verbal signs of your co-worker. You're already increasing your situational awareness.
Remember we are trying to re-train your brain to notice certain kinds of opportunities. Some opportunities are just process improvements or choices people make. You are looking for opportunities that could be solved through the purchase of a product or service. Noticing the emotional evidence is just a signal to dig deeper to understand what need isn't being met yet. Keep up the good work!","Detailed descriptions of non-verbal and verbal behaviors associated with frustration. The beginning of APM and ROI are evident in their acknowledgment that the opportunity is contigent upon their own abilitynand efforts ""where I am able, if I am able.""","OSQ: Lacks commonality assessment, only a vague solution and no associated economic system.  
API: Lack of clear personal interest or motivation to solve the problem
ROI: No analysis of imagined efforts or return on such efforts.","Praise them for describing the emotional evidence during the observed experience. Remind them they are looking for frequent or intense problems that can be solved by a product or service. by asking ""Is this a problem that can be solved with a product or service? Is it an intense enough experience to influence future purchasing decisions?"" "
BG,1,Spring,Observation,1,"Working in property management, the risk of a potential tenant is assessed at the application portion of the process. We gather the necessary information and run the proper reports to determine eligibility based off our company criteria. The decision making process is an problem and an opportunity. The problem being, we have to stick to the criteria 100%, as to not be considering discriminatory. The opportunity is that we are able to determine eligibility within minutes, therefore keeping a high rate of occupancy. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of the situations! Especially catching all the non-verbal signs of your co-worker. You're already increasing your situational awareness.
Remember we are trying to re-train your brain to notice certain kinds of opportunities. Some opportunities are just process improvements or choices people make. You are looking for opportunities that could be solved through the purchase of a product or service. Noticing the emotional evidence is just a signal to dig deeper to understand what need isn't being met yet. Keep up the good work!",Described a common experience in the property management industry.,"Unclear what the challenge or opportunity is. Lacks emotional evidence, or implied solution and economic system.","Focus on clarifying the experience by saying,"" Good description of a common experience for property management companies, help me understand more about the problem Why is not being discriminatory a problem? It seems the rapid evaluation of eligibility is already happening, is that unusual?"""
BG,1,Spring,Observation,1,"My husband of 9 years and I have very different pallets. He enjoys pizza rolls and I enjoy beet salads. When it comes to cooking dinner, it can be a struggle. This evening, my husband suggested I make a lemon pasta. I don't typically eat pasta, but I know I have some wiggle room with this option. The problem is, my husband wants me to essentially cook two meals, thus taking time and additional money that was not budgeted for the meals that I had planned. The opportunity is to attempt to make something along his suggestion, that is healthier, still tastes like what he asked for, and is within the grocery budget. I can be innovative, especially when it comes to the kitchen. I ended up making a pan seared lemon chicken breast with veggies on the side for me, then I used noodles I already had in my pantry, 2% milk and the juice from the lemon chicken to make a lemon pasta for him.",Awareness,Awareness,No Evidence,No Evidence,Awareness,No Evidence,No Evidence,"Great descriptions of the situations! Especially catching all the non-verbal signs of your co-worker. You're already increasing your situational awareness.
Remember we are trying to re-train your brain to notice certain kinds of opportunities. Some opportunities are just process improvements or choices people make. You are looking for opportunities that could be solved through the purchase of a product or service. Noticing the emotional evidence is just a signal to dig deeper to understand what need isn't being met yet. Keep up the good work!","Described a reoccuring personal issue (""over 9 years""). Used words like ""struggle"" and ""wants me"" to describe their emotional experience. Identifies a possible source of the problem (budgeting and meal planning for different tastes). They also identify a potential solution (using the budgeted materials to produce two dishes) and took action to address the immediate solution.","OSQ: There is both a negative and positive experience description but it is unclear which they are interested in solving or repeating and no mention of pursuing an economic system to support either potential opportunity.
API: While this is a personal issue it isn't clear if  it is something they are personally committed to pursue. They could be the founder or one of the early adopters, especially because they have a workaround currently. No evidence of consideration of ethical alignment.
EVC: No evidence of assessing how valuable this would be to others that might have the same problem.  ","Praise the action taken to figure out an immediate solutioin and then help them make a decision to clarify the opportunity of interest by asking, ""Are you more interested in facilitating the ability to come up with two meals with budgeted ingredients or helping people budget to account for multiple pallets or preferences?"" then using their answer confirm the API by asking ""Is this something that you care enough about to motivate you when it gets hard?"" then continue with next sub-task."
BG,1,Spring,Observation,1,"After listening to the podcast episode, I looked around at my daily household products and starting looking up who invented certain things and if they have public information about their business plan. Some of them would be considered common knowledge such as my iPhone and Amazon. But then I started looking around. Questioning all of the designs in my home. The problem is we overlook so many small details in our daily lives. Getting a closer look at some of the small things that make a home, like blinds and a refrigerator, can be eye opening. It may also help you determine a need, that could lead to a business. The opportunity is to find something around my home that could use something, that could be better with an additional product or upgrade. ",Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,"Great descriptions of the situations! Especially catching all the non-verbal signs of your co-worker. You're already increasing your situational awareness.
Remember we are trying to re-train your brain to notice certain kinds of opportunities. Some opportunities are just process improvements or choices people make. You are looking for opportunities that could be solved through the purchase of a product or service. Noticing the emotional evidence is just a signal to dig deeper to understand what need isn't being met yet. Keep up the good work!","Makes observations of their surroundings and questions how they came to be, including economic systems, and if they can be improved (automatically exploring the problem space).","OSQ: No specific observations made.
EPS: No consideration of exclusivity, barriers to entry, or differentiation.",Praise the observations made and press for a specific product they observed that they felt would be great to improve upon. Encourage them to consider what would make them switch from the product they bought to begin consideration of differentiation and value to customers.
